acteurs,actors,date,description,duree,durée,genre,original_title,public,score,title
"Tim Robbins,Morgan Freeman,Bob Gunton",,1994,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",142,,Drama,,R,9.3,The Shawshank Redemption
"Matthew Broderick,Jeremy Irons,James Earl Jones",,1994,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",88,,Animation,,G,8.5,The Lion King
"Jean Reno,Gary Oldman,Natalie Portman",,1994,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",110,,Action,,R,8.5,Léon: The Professional
"Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong",,2019,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,132,,Drama,,R,8.5,Parasite
"Adrien Brody,Thomas Kretschmann,Frank Finlay",,2002,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,150,,Biography,,R,8.5,The Pianist
"Anthony Perkins,Janet Leigh,Vera Miles",,1960,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",109,,Horror,,R,8.5,Psycho
"Daveigh Chase,Suzanne Pleshette,Miyu Irino",,2001,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",125,,Animation,,PG,8.6,Spirited Away
"Michael J. Fox,Christopher Lloyd,Lea Thompson",,1985,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",116,,Adventure,,PG,8.5,Back to the Future
"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong",,1991,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old adolescent son John from an even more advanced and powerful cyborg.",137,,Action,,R,8.6,Terminator 2: Judgment Day
"Mark Hamill,Harrison Ford,Carrie Fisher",,1977,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",121,,Action,,PG,8.6,Star Wars: Episode IV - A New Hope
"Tom Hanks,Michael Clarke Duncan,David Morse",,1999,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",189,,Crime,,R,8.6,The Green Mile
"Matthew McConaughey,Anne Hathaway,Jessica Chastain",,2014,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,169,,Adventure,,PG-13,8.6,Interstellar
"Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini",,1997,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",116,,Comedy,,PG-13,8.6,Life Is Beautiful
"Tom Hanks,Matt Damon,Tom Sizemore",,1998,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",169,,Drama,,R,8.6,Saving Private Ryan
"Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele",,2002,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",130,,Crime,,R,8.6,City of God
"Jodie Foster,Anthony Hopkins,Lawrence A. Bonney",,1991,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",118,,Crime,,R,8.6,The Silence of the Lambs
"Ben Kingsley,John Gielgud,Rohini Hattangadi",,1982,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,191,,Biography,,PG,8.1,Gandhi
"Viola Davis,Emma Stone,Octavia Spencer",,2011,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",146,,Drama,,PG-13,8.1,The Help
"Eli Marienthal,Harry Connick Jr.,Jennifer Aniston",,1999,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,86,,Animation,,PG,8.1,The Iron Giant
"Scott Weinger,Robin Williams,Linda Larkin",,1992,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,90,,Animation,,G,8.0,Aladdin
"Maksim Munzuk,Yuriy Solomin,Mikhail Bychkov",,1975,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,142,,Adventure,,G,8.2,Dersu Uzala
"Michelle Yeoh,Stephanie Hsu,Jamie Lee Curtis",,2022,"An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led.",139,,Action,,R,8.1,Everything Everywhere All at Once
"Graham Chapman,John Cleese,Michael Palin",,1979,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",94,,Comedy,,R,8.0,Life of Brian
"Julie Andrews,Christopher Plummer,Eleanor Parker",,1965,A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,172,,Biography,,G,8.1,The Sound of Music
"Bibi Andersson,Liv Ullmann,Margaretha Krook",,1966,A nurse is put in charge of a mute actress and finds that their personae are melding together.,83,,Drama,,Not Rated,8.1,Persona
"Clark Gable,Claudette Colbert,Walter Connolly",,1934,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.",105,,Comedy,,Passed,8.1,It Happened One Night
"Kim Min-hee,Ha Jung-woo,Cho Jin-woong",,2016,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",145,,Drama,,Not Rated,8.1,The Handmaiden
"Jean-Pierre Léaud,Albert Rémy,Claire Maurier",,1959,"A young boy, left without attention, delves into a life of petty crime.",99,,Crime,,Not Rated,8.1,The 400 Blows
"Paul Newman,George Kennedy,Strother Martin",,1967,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",127,,Crime,,GP,8.1,Cool Hand Luke
"Emilio Echevarría,Gael García Bernal,Goya Toledo",,2000,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",154,,Drama,,R,8.1,Amores Perros
"Laurence Olivier,Joan Fontaine,George Sanders",,1940,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,130,,Drama,,Approved,8.1,Rebecca
"Çetin Tekindor,Fikret Kuskan,Hümeyra",,2005,,112,,Drama,,Not Rated,8.2,My Father and My Son
"Henry Fonda,Jane Darwell,John Carradine",,1940,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",129,,Drama,,Passed,8.1,The Grapes of Wrath
"Johnny Depp,Geoffrey Rush,Orlando Bloom",,2003,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",143,,Action,,PG-13,8.1,Pirates of the Caribbean: The Curse of the Black Pearl
"Suriya,Lijo Mol Jose,Manikandan K.",,2021,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",164,,Crime,,TV-MA,8.9,Jai Bhim
"Vincent Cassel,Hubert Koundé,Saïd Taghmaoui",,1995,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,98,,Crime,,Not Rated,8.1,La haine
"Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa",,2009,A college professor bonds with an abandoned dog he takes into his home.,93,,Biography,,G,8.1,Hachi: A Dog's Tale
"Brahim Hadjadj,Jean Martin,Yacef Saadi",,1966,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",121,,Drama,,Not Rated,8.1,The Battle of Algiers
"Carole Lombard,Jack Benny,Robert Stack",,1942,,99,,Comedy,,Passed,8.2,To Be or Not to Be
"Craig T. Nelson,Samuel L. Jackson,Holly Hunter",,2004,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",115,,Animation,,PG,8.0,The Incredibles
"Myrna Loy,Dana Andrews,Fredric March",,1946,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",170,,Drama,,Approved,8.1,The Best Years of Our Lives
"Ellen Burstyn,Max von Sydow,Linda Blair",,1973,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",122,,Horror,,R,8.1,The Exorcist
"Bill Murray,Andie MacDowell,Chris Elliott",,1993,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.",101,,Comedy,,PG,8.1,Groundhog Day
"Ethan Hawke,Julie Delpy,Vernon Dobtcheff",,2004,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",80,,Drama,,R,8.1,Before Sunset
"Judy Garland,Frank Morgan,Ray Bolger",,1939,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",102,,Adventure,,G,8.1,The Wizard of Oz
"Emile Hirsch,Vince Vaughn,Catherine Keener",,2007,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters th...",148,,Adventure,,R,8.1,Into the Wild
"Faye Dunaway,William Holden,Peter Finch",,1976,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",121,,Drama,,R,8.1,Network
"Kanu Bannerjee,Karuna Bannerjee,Subir Banerjee",,1955,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",125,,Drama,,Not Rated,8.3,Pather Panchali
